id пользователя;Вильямс;Шварц;Медник;Триандис;Друзья;Подписки;Подписки образование;Подписки опасные;% Подписки образование;% Подписки опасные;9_иностранные языки;8_философия;12_психология/педагогика;10_история/обществознание;7_филология/литература;5_техника и технологии;11_искусство/культура;4_математика;2_науки о земле;4_информатика;6_физика;3_химия;1_биология/медицина;3_16_юриспруденция;Преступный контент;Самоповреждающее поведение;Эстетика зла;Ненависть и агрессия и агрессия;Оружие ;Психоактивные вещества;Национализм;Депрессивный контент;Субкультура True Crime;Вульгарный контент;Суицидальный контент;Жестокий контент;Эстетика смерти;Оружие
6017;2;3;2;2;90;70;0;0;0,0%;0,0%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4479;3;2;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6014;3;2;2;2;108;51;2;0;3,9%;0,0%;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4481;3;1;3;2;245;231;12;7;5,2%;3,0%;1;0;2;3;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;0;0;0;0;0;0
6020;2;1;2;2;233;38;1;0;2,6%;0,0%;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6019;2;1;;1;340;62;0;5;0,0%;8,1%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;0;1;0;0;0;0
6021;3;2;3;2;94;46;1;1;2,2%;2,2%;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
6018;3;2;3;3;196;122;3;4;2,5%;3,3%;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2;0;0
6010;2;1;3;2;150;62;0;3;0,0%;4,8%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0
6022;3;1;2;2;1620;60;0;1;0,0%;1,7%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
6023;2;2;2;2;246;86;4;2;4,7%;2,3%;1;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0
6024;2;1;1;1;1062;292;8;3;2,7%;1,0%;4;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0
6025;2;2;1;1;49;27;1;0;3,7%;0,0%;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6026;2;2;1;2;205;65;4;5;6,2%;7,7%;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;1;0;0;0
4494;2;1;3;1;138;104;3;1;2,9%;1,0%;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
6029;3;1;3;2;422;268;10;7;3,7%;2,6%;1;0;1;1;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;5;0;0;0;0
4530;3;3;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6028;2;2;3;2;49;67;0;6;0,0%;9,0%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;4;0;1;0;0;0;0
2316;2;1;3;2;74;71;0;4;0,0%;5,6%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;3;0;0;0;0
6030;2;1;3;1;80;52;3;1;5,8%;1,9%;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
4483;2;1;2;1;265;77;5;0;6,5%;0,0%;1;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
